Debiti per locazioni,4.382,199,35,(63,3.041,
quota corrente,1.478,1.224,,,,
quota non corrente,2.904,1.817,,,,
a voce Debiti per locazioni; che accoglie 341 mila euro per effetto sostanzialment ompensati dalle nuove accensioni dell'es Jerivati con fair value passivo,il valore attuale e dei pagamenti sercizio (199 mila,lei debiti de dei canoni euro),i derivanti dai ni di locazione,dai contrai one (-1.512,"di locazione, ila euro) par",i riduce di almente
erivati con fair value passivo,,,,,,
(migliaia di euro),31.12.2022,2022,1.12.2021,'ARIAZIONE,,
Derivati con fair value passivo,83.652,119.468,(35.816),,,
Rateo interessi,258,234,24,,,
TOTALE DERIVATI CON FAIR VALUE PASSIVO,83,83.910,119.702,(35.792),,
quota non corrente,81.230,(81.230),,,,
quota corrente,83.910,38.472,45.438,,,
